Name,Symbol,Link
Sirius XM Holdings Inc,SIRI,https://www.slickcharts.com/symbol/SIRI/
Seagen Inc,SGEN,https://www.slickcharts.com/symbol/SGEN/
Datadog Inc,DDOG,https://www.slickcharts.com/symbol/DDOG/
ANSYS Inc,ANSS,https://www.slickcharts.com/symbol/ANSS/
VeriSign Inc,VRSN,https://www.slickcharts.com/symbol/VRSN/
Zoom Video Communications Inc,ZM,https://www.slickcharts.com/symbol/ZM/
Zscaler Inc,ZS,https://www.slickcharts.com/symbol/ZS/
Lucid Group Inc,LCID,https://www.slickcharts.com/symbol/LCID/
Baidu Inc ADR,BIDU,https://www.slickcharts.com/symbol/BIDU/
Atlassian Corp,TEAM,https://www.slickcharts.com/symbol/TEAM/
Align Technology Inc,ALGN,https://www.slickcharts.com/symbol/ALGN/
Skyworks Solutions Inc,SWKS,https://www.slickcharts.com/symbol/SWKS/
Match Group Inc,MTCH,https://www.slickcharts.com/symbol/MTCH/
Splunk Inc,SPLK,https://www.slickcharts.com/symbol/SPLK/
NetEase Inc ADR,NTES,https://www.slickcharts.com/symbol/NTES/
DocuSign Inc,DOCU,https://www.slickcharts.com/symbol/DOCU/
